Visual Apparent Magnitude of the Star,Distance Between the Star and the Earth,Standard Error of star ad earth,B-V color index,Spectral type,Absolute Magnitude of the Star,star
5.58,2.27,0.59,-0.176,B2.5IV,12.360128,Gaint
5.17,6.8,0.76,-0.066,B8V,14.332544,Gaint
9.68,10.53,2.47,0.102,B6V comp SB,19.792143,Gaint
7.83,9.99,0.76,0.4,F3V,17.827827,Gaint
9.34,12.14,1.45,0.519,F7V,19.761093,Gaint
7.57,1.22,0.9,0.015,B8V,13.0018,Gaint
8.42,7.01,1.24,0.396,A5V,17.64859,Gaint
8.5,1.21,2.05,0.915,G5III,13.913927,Dwarf
8.91,-0.6,2.32,0.069,B9/B9.5V,12.800756,Gaint
9.1,24.04,5.66,0.772,G8/K0V:,21.004673,Gaint
7.56,4.93,0.66,1.031,K0III,16.024235,Dwarf
9.31,11.63,1.88,0.6,G1/G2V,19.637897,Gaint
6.62,3.91,0.86,1.339,K1/K2III,14.580884,Dwarf
7.85,4.78,0.9,0.934,G6III,16.247139,Dwarf
5.45,25.94,0.75,0.39,F3V,17.51985,Gaint
8.45,2.83,1.16,1.086,K1III,15.708932,Dwarf
9.07,3.23,1.02,1.144,G8III/IV,16.616013,Gaint
8.11,5.44,0.72,0.398,F2IV,16.787994,Gaint
8.34,11.75,1.08,0.473,F3/F5V,18.69019,Gaint
9.79,5.48,1.37,0.495,F5V,18.483902,Gaint
6.97,2.53,0.9,1.33,K1III,13.985602,Dwarf
3.06,13.11,0.75,1.603,M0III SB,13.648014,Dwarf
8.9,2.54,1.01,1.098,K1III,15.924168,Dwarf
8.53,1.14,0.89,-0.093,B7/B8III,13.814524,Dwarf
6.49,18.49,0.52,0.419,F5V...,17.824684,Gaint
6.25,3.93,0.55,1.399,K2/K3III,14.221963,Dwarf
8.35,2.06,1.23,0.791,B8Iab,14.919336,Dwarf
6.36,7.25,0.72,0.01,A1V,15.66169,Gaint
6.84,4.79,0.58,0.95,G6III,15.241678,Dwarf
6.51,22.22,1.15,0.394,F5IV,18.243721,Gaint
8.16,9.67,1.07,0.926,K0III,18.087132,Dwarf
4.68,6.21,0.78,1.589,M2III,13.645458,Dwarf
5.78,9.87,0.79,0.26,F0V,15.751587,Gaint
7.07,6.46,0.9,1.013,K0III,16.121162,Dwarf
10.11,101.91,1.67,1.5,M2Ve,25.151085,Gaint
9.45,1.14,0.96,0.024,B9.5V,14.734524,Gaint
8.2,5.61,0.91,0.243,A5/A6V,16.944813,Gaint
8.66,3.21,0.77,1.484,K0/K1III,16.192524,Dwarf
7.58,5.22,0.89,1.008,G8III,16.168352,Dwarf
8.05,8.23,0.69,0.239,A4V,17.626999,Gaint
9.34,3.31,1.46,0.11,A2V,16.93914,Gaint
10.5,0.01,2.27,0.21,A0IV/V,5.5,Gaint
6.76,2.22,0.64,1.256,K1III,13.491766,Dwarf
9.45,0.4,1.46,0.355,F0V,12.4602995,Gaint
6.42,109.21,0.78,0.754,G8Vp,21.611313,Gaint
7.84,2.94,1.06,1.176,K1III,15.181737,Dwarf
7.94,5.62,1.07,1.283,K2III,16.688683,Dwarf
7.3,12.88,0.56,0.443,F3V,17.849579,Gaint
8.93,1.62,0.92,1.38,K2/K3III:,14.977575,Dwarf
6.85,6.18,0.92,0.059,A1V,15.804943,Gaint
8.51,8.26,1.31,0.46,F5V,18.0949,Gaint
8.66,2.39,1.12,1.58,M2III,15.55199,Dwarf
8.85,0.44,0.87,-0.02,B9V,12.067264,Gaint
7.16,0.82,0.62,0.241,O9III,11.729069,Dwarf
8.8,6.75,0.76,0.7,G0V,17.946518,Gaint
7.93,3.39,0.71,0.009,B9V,15.580999,Gaint
7.3,4.88,0.97,0.958,G6III,15.742099,Dwarf
8.34,9.19,0.75,0.424,F2V,18.156578,Gaint
7.96,5.89,1.07,1.581,K5III,16.810577,Dwarf
6.23,0.96,0.89,0.086,O9.5II,11.1413555,Dwarf
7.76,2.83,0.98,1.484,K4III,15.018932,Dwarf
5.74,13.07,0.59,0.163,A8III,16.321377,Dwarf
6.61,2.4,0.57,-0.144,B3V,13.511057,Gaint
8.08,1.4,0.83,0.94,G8/K0III,13.81064,Dwarf
9.56,3.29,1.77,0.467,F2V,17.14598,Gaint
8.72,1.19,1.1,-0.16,B9Ib/II,14.097735,Dwarf
5.67,2.96,0.87,1.047,G7III:,13.026459,Dwarf
8.28,-0.18,0.97,-0.148,B4V,9.556362,Gaint
8.82,1.35,1.16,1.693,M1III:,14.471668,Dwarf
7.83,5.18,1,1.207,K1III,16.40165,Dwarf
7.88,14.13,0.99,0.74,G6IV/V,18.63071,Gaint
7.84,2.4,0.68,0,B8/B9IV,14.741056,Gaint
7.97,0.05,0.77,0.219,B0.5III,6.4648495,Dwarf
5.7,51.76,0.78,0.61,G0.5Vb,19.26997,Gaint
3.85,25.4,0.65,1.168,K2III,15.874168,Dwarf
6.87,31.83,0.74,0.798,K1Vp,19.384182,Gaint
7.19,3.08,0.74,1.727,M1III,14.632753,Dwarf
5.9,3.63,0.87,1.529,K5III,13.699533,Dwarf
8,2.22,0.79,-0.085,B8III,14.731766,Dwarf
8.34,9.09,0.87,0.363,F2/F3V,18.13282,Gaint
6.3,6.33,0.68,1.228,K2III,15.307019,Dwarf
8.66,1.03,0.8,-0.03,B8/B9III/IV,13.724186,Gaint
9.36,1.1,1,0.991,G6/G8III:,14.566963,Dwarf
7.99,6.05,0.69,0.4,F2III,16.898777,Dwarf
7.28,1.92,0.69,1.56,K5III,13.6965065,Dwarf
8.32,6.29,1.07,0.254,A5V,17.313251,Gaint
6,1.81,0.73,-0.172,B3V,12.288393,Gaint
8.07,6.62,1,0.51,F7V,17.17429,Gaint
6.44,3.54,0.61,1.198,G6III,14.185017,Dwarf
10.35,-1.44,2.07,-0.158,B4III,16.141813,Dwarf
10.11,5.38,1.87,0.44,F5V,18.763912,Gaint
6.51,12.84,0.8,0.298,A9III-IV,17.052826,Gaint
7.8,2.63,0.95,0.19,A5V,14.899778,Gaint
7.47,3.23,0.86,1.661,K5III,15.016012,Dwarf
9.93,5.67,1.5,0.195,A3III:,18.697916,Dwarf
7.25,7.11,0.69,1.116,K1/K2III,16.509348,Dwarf
9.24,7.06,1.3,0.403,F2V,18.484024,Gaint
8.52,16.57,1.11,0.71,G2V,19.616611,Gaint
8.64,4.86,1.04,0.08,A0V,17.073181,Gaint
8.64,2.19,1.14,-0.077,B3V,15.34222,Gaint
10.56,2.46,1.57,1.1,K3III,17.514675,Dwarf
7.8,9.31,0.79,0.458,F3V,17.644749,Gaint
8.71,1.63,0.91,0.109,A2V,14.770939,Gaint
7.21,3.58,0.62,1.529,K5/M0III,14.979416,Dwarf
6.47,3.75,0.7,-0.108,B8III/IV,14.340157,Gaint
8.17,1.34,1.1,1.14,K0III,13.805524,Dwarf
8.02,2.75,1.17,0.497,F3III,15.216664,Dwarf
6.34,3.73,0.78,-0.042,B5Vn,14.1985445,Gaint
7.78,8.73,1,0.937,K0III/IV,17.485071,Gaint
9.04,0.92,1.41,1.56,K7III,13.858939,Dwarf
8.79,8.13,1.32,0.892,G8V-VI,18.340454,Gaint
8.19,6.05,0.76,0.11,A2V,17.098778,Gaint
6.58,57.8,0.85,0.763,K0V,20.389639,Gaint
7.13,11.32,0.77,0.363,F2III,17.399231,Dwarf
9.09,10.79,2.52,0.592,F5V,19.255108,Gaint
8.21,7.98,1.27,0.279,A8/A9V,17.720015,Gaint
7.72,6.05,0.54,0.053,A0V,16.628777,Gaint
8.05,4.03,1.04,1.596,M2/M3III,16.076527,Dwarf
8.47,2.86,1.31,1.025,K1III/IV,15.751831,Gaint
8,6.79,1.1,0.18,A4V,17.15935,Gaint
6.57,8.25,0.78,0.053,A0V,16.15227,Gaint
9.56,32.33,1.58,1.286,K4V,22.108028,Gaint
7.05,1.85,0.99,1.621,M3III,13.385859,Dwarf
7.5,2.89,0.79,0.11,B8II,14.804489,Dwarf
9.32,3.1,1.46,1.065,G8/K0III/IV,16.776808,Gaint
8.14,5.23,1.11,0.35,A0V,16.73251,Gaint
8.44,2.83,0.95,-0.06,B8II,15.698932,Dwarf
8.65,3.48,0.77,1.264,K2III,16.357895,Dwarf
8.61,0.97,0.88,0.927,G6III,13.543859,Dwarf
8.53,27.86,0.87,0.766,K0V,20.754906,Gaint
6.87,10.99,0.84,1.007,K0III,17.07499,Dwarf
6.75,23.09,0.83,0.45,F5V,18.56712,Gaint
7.13,2.73,0.82,1.648,M1/M2III,14.310814,Dwarf
9.98,0.82,1.84,0.439,F3V,14.549068,Gaint
6.83,5.02,1.04,-0.068,B9V,15.333519,Gaint
7.11,2.4,0.91,1.654,M0III,14.011057,Dwarf
6.7,5.68,0.85,0.862,K0III...,15.471742,Dwarf
8.62,7.19,3.07,0.402,F2V,17.903645,Gaint
7.81,2.27,0.92,-0.036,B9V,14.590129,Gaint
9.73,4.19,1.17,0.653,F8/G0V,17.84107,Gaint
10.08,1.92,1.46,1.287,K3III,16.496506,Dwarf
8.32,0.19,0.78,1.515,M3III,9.713768,Dwarf
8.05,4.15,1.11,1.083,K0/K1III,16.14024,Dwarf
9.62,3.06,1.08,0.028,B8/B9V,17.048607,Gaint
8.42,4.62,1.05,0.28,A0IV/V,16.74321,Gaint
8.04,-0.37,1.02,1.315,K2III,10.881008,Dwarf
5.06,7.6,0.47,1.122,K1II-III,14.464067,Dwarf
8.32,5.23,1.56,1.12,K0III,16.912508,Dwarf
10.21,3.43,2.73,0.634,F6/F7V,17.88647,Gaint
8.53,5.55,1.16,0.888,G8III/IV,17.251465,Gaint
9.86,2.11,1.55,0.413,F3IV/V,16.481411,Gaint
7.19,4.65,1.88,0.06,B7/B8IV:,15.527266,Gaint
6.91,3.33,0.78,1.6,K5III,14.522221,Dwarf
7.18,13,0.89,0.439,F3V,17.749716,Gaint
8.87,3.38,1.25,0.242,A3IV,16.514584,Gaint
6.05,5.19,0.6,1.562,K5III,14.625836,Dwarf
9.15,3.75,1.33,1.079,G5III,17.020157,Dwarf
9.35,2.6,1.24,0.05,A0V,16.424868,Gaint
7.84,2.18,0.6,0.004,B8V,14.532283,Gaint
8.36,3.49,1.13,1.357,K2/K3III,16.074127,Dwarf
7.55,6.09,1.14,1.018,K0III,16.473087,Dwarf
7.73,14.51,0.76,0.48,F6V,18.538336,Gaint
8.18,0.99,0.65,1.199,G8IIICN...,13.158176,Dwarf
8.38,8.9,0.79,0.355,F0V,18.12695,Gaint
6.61,2.62,0.91,1.086,K0III,13.701508,Dwarf
8.71,1.79,1.13,0.98,K0III,14.974265,Dwarf
8.79,1.83,1.19,0.89,G8III,15.102256,Dwarf
5.14,15.49,0.94,0.018,A1V,16.090258,Gaint
4.65,8.82,1.78,-0.122,B3V,14.377342,Gaint
8.82,4.46,1.13,1.324,K1III,17.066673,Dwarf
9.15,11.17,1.31,0.611,G0V,19.390266,Gaint
7.77,2.75,1.07,1.391,M4III,14.966663,Dwarf
7.95,1.4,0.84,0.99,G8III,13.68064,Dwarf
7.96,3.8,1,1.238,K1IIICN...,15.858918,Dwarf
8.38,8.47,0.79,0.891,G8IV,18.019417,Gaint
7.44,5.18,1.1,1.568,K5III,16.011648,Dwarf
9.06,0.28,0.76,1.433,K3III,11.29579,Dwarf
4.03,10.94,1.35,1.007,G8Iab:,14.225086,Dwarf
8.18,6.37,0.77,0.97,G8III/IV,17.200697,Gaint
8.43,7.96,0.88,0.605,F8/G0V:,17.934566,Gaint
6.92,3.26,0.6,-0.118,B5V,14.486089,Gaint
7.46,6.98,0.74,0.309,F0V,16.679276,Gaint
9.48,2.73,1.53,0.979,K0V,16.660812,Gaint
10.05,22.77,1.62,1.002,K0V,21.836815,Gaint
8.87,1.52,1.22,-0.029,B9V,14.779218,Gaint
8.28,-1.02,2.85,0.908,K0III,13.323,Dwarf
8.99,1.1,0.94,0.945,G8III/IV,14.196963,Gaint
4.95,5.25,0.84,1,G8II-III,13.5507965,Dwarf
8.96,8.27,2.32,0.45,F5V,18.547527,Gaint
7.78,4.48,0.83,1.521,M4/M5III,16.03639,Dwarf
9.23,2.66,1.37,0.909,G6III/IV,16.354408,Gaint
6.18,7.5,0.88,0.028,A2V,15.5553055,Gaint
6.78,2.73,0.86,-0.051,B5V,13.9608135,Gaint
9.31,8,1.59,0.608,G0V,18.82545,Gaint
5.17,12.73,0.54,0.896,G8III,15.694141,Dwarf
8.66,3.31,1.18,0.228,A6III,16.25914,Dwarf
8.15,2.86,1.13,0.37,B2Ib/II,15.431829,Dwarf
7.24,2.97,0.52,1.225,K0III,14.603782,Dwarf
7.57,12.89,0.63,0.585,F8/G0V,18.121264,Gaint
6.06,9.59,1.1,-0.032,A0V,15.969093,Gaint
7.99,20.61,0.73,0.68,G3V,19.560389,Gaint
8.26,19.07,0.98,0.611,G1V,19.661755,Gaint
9.84,6.44,1.75,0.395,F2V,18.88443,Gaint
8.16,0.95,1.18,0.013,B3II-III,13.048618,Dwarf
7.71,4.34,1.15,1.152,K1II/IIICN,15.897449,Dwarf
8.72,17.19,1.24,0.685,G5V,19.896378,Gaint
8.5,1.11,0.84,1.36,M4IIIvar,13.726615,Dwarf
6.7,1.76,0.85,-0.05,B9III,12.927564,Dwarf
8.19,17.92,1.02,0.57,G0/G1V,19.456688,Gaint
7.68,3.75,0.8,0.192,A5IV,15.550157,Gaint
6.19,6.77,0.72,0.973,K0III,15.342943,Dwarf
6.14,0.63,1.09,1.472,K4III,10.136703,Dwarf
8.3,0.93,0.66,0.743,F7III,13.142415,Dwarf
6.68,2.71,1.03,0.07,B9III/IV,13.844847,Gaint
9.26,16.85,1.07,0.831,G6IV/V,20.393,Gaint
8.8,3.66,0.97,-0.015,B9.5Vn,16.617405,Gaint
8.38,6.05,0.69,0.494,F5III,17.288776,Dwarf
7.38,5.53,1.03,1.122,K0III,16.093626,Dwarf
9.57,11.14,1,0.686,G2/G3IV/V,19.804426,Gaint
6.53,2.84,0.51,-0.151,B5V,13.796593,Gaint
8.07,23.06,1.09,0.737,G6IV,19.884296,Gaint
9.21,0.27,1.06,-0.03,B6Vne,11.366819,Gaint
8.12,3.78,1.05,1.182,K2III,16.007458,Dwarf
7.43,1.05,0.9,0.279,B2Ib,12.535946,Dwarf
8.05,5.11,1.04,0.204,A3IV,16.592106,Gaint
6.51,5.89,0.79,-0.027,A0V,15.360577,Gaint
7.09,30.89,0.78,0.6,G0V,19.53909,Gaint
6.66,16.37,0.74,0.295,A7IV,17.730244,Gaint
9.65,6.39,1.77,0.76,G3/G5V,18.677504,Gaint
8.43,13.01,0.8,0.523,F7V,19.001387,Gaint
6.14,35.02,0.74,0.718,G3/G5V,18.861582,Gaint
8.55,-0.65,0.84,-0.045,B9V,12.614567,Gaint
7.77,6.06,0.96,1.098,K2III,16.682364,Dwarf
8.94,2.62,1.29,1.103,K0III/IV,16.031506,Gaint
8.21,2.03,0.73,1.214,G3/G5III,14.74748,Dwarf
9.18,1.31,1.28,1.344,K2III,14.766357,Dwarf
8.85,0.24,1.02,1.043,G8III,10.751057,Dwarf
3.85,31.72,0.55,0.051,A2V,16.356667,Gaint
8.04,11.2,0.62,0.521,F6V,18.28609,Gaint
7.44,2.78,0.57,1.626,K5III,14.660225,Dwarf
6.75,16.42,0.83,0.518,F5/F6V,17.826866,Gaint
8.63,1.92,0.8,1.701,M0/M1III:,15.046507,Dwarf
8.44,4.02,1.09,1.058,K0III,16.46113,Dwarf
9.29,3.27,0.94,1.05,K0III,16.86274,Dwarf
6.86,2.91,0.57,-0.009,B9III,14.179464,Dwarf
6.73,1.76,0.84,1.584,K3III,12.957563,Dwarf
8.72,2.84,1.11,0.931,G8III,15.986592,Dwarf
7.98,2.27,0.66,0.76,F7/F8III,14.760129,Dwarf
7.86,66.15,0.95,1.153,K5V,21.96265,Gaint
7.9,0.76,0.6,-0.006,B2/3V(e),12.304068,Gaint
6.98,2.68,1.09,1.631,M1III,14.120674,Dwarf
8.36,3.09,0.82,1.036,G8/K0III,15.8097925,Dwarf
7.49,5.64,0.88,1.087,K1III,16.246395,Dwarf
6.46,2.42,0.77,1.02,G0Ib,13.379077,Dwarf
8.06,2.11,1.2,1.16,K3/K4III+..,14.681413,Dwarf
9.68,9,1.45,0.655,G3V,19.451214,Gaint
8.86,0.76,1.37,0.398,B3III,13.264068,Dwarf
4.9,82.61,0.57,0.555,F9V,19.485163,Gaint
8.77,7.25,1.36,0.609,F7V,18.07169,Gaint
6.94,0.22,0.78,0.059,B1III,8.652113,Dwarf
8.6,1.45,0.8,0.108,B9V,14.40684,Gaint
8.35,11.12,1.22,0.655,G3V,18.580524,Gaint
6.55,6.39,0.96,-0.005,A0V,15.577504,Gaint
6.13,7.12,0.72,0.156,A3III,15.3924,Dwarf
7.49,2.17,0.86,-0.043,B6III,14.172298,Dwarf
8.98,6.59,1.91,0.577,G0V,18.074427,Gaint
8.33,8.07,1.26,0.554,F7IV,17.864368,Gaint
7.8,12.36,1.13,0.434,F2V,18.260094,Gaint
8.42,15.09,1.03,0.541,F6/F7V,19.313446,Gaint
5.94,3.97,0.79,0.034,B9III,13.933952,Dwarf
6.22,12,0.59,0.182,A6V,16.615906,Gaint
7.96,9.66,0.61,0.388,F3V,17.884886,Gaint
8.36,0.5,1.19,1.553,M2III,11.854849,Dwarf
7.65,13.04,0.69,0.496,F6/F7V,18.226389,Gaint
7.85,3.91,0.98,0.4,A9V,15.810884,Gaint
7.77,1.83,0.67,1.334,K3III,14.082256,Dwarf
8.72,3.88,1.27,1.037,K2III,16.66416,Dwarf
8.89,1.99,1.71,0.551,F3V,15.384266,Gaint
7.6,4.18,0.62,1.542,K5III,15.705881,Dwarf
7.65,28.45,0.74,0.703,G5V,19.920412,Gaint
9.13,2.81,0.83,0.184,A3V,16.373531,Gaint
9.07,4.38,0.82,1.176,G8/K0III:,17.27737,Dwarf
8.85,1.35,1.29,0.309,B2Ve,14.501669,Gaint
6.84,6.84,0.82,0.443,F3/F5III,16.015282,Dwarf
6.94,3.99,1.08,0.002,B9IIIsp...,14.944864,Dwarf
7.9,5.1,0.7,0.165,A2IV/V,16.43785,Gaint
6,3.12,0.72,1.597,M4III,13.470773,Dwarf
6.11,16,0.88,0.193,A6:IIIm...,17.130602,Dwarf
8.87,13.06,1.43,0.511,F7V,19.449715,Gaint
7.57,4.91,0.63,1.138,K2III,16.025408,Dwarf
8.44,8.21,0.71,0.453,F5V,18.011715,Gaint
7.8,5.92,0.99,0.741,G3IV/V,16.66161,Gaint
4.01,3.53,0.58,-0.15,B2IV/Ve,11.748875,Gaint
8.89,1.87,1,-0.017,B9IV/V,15.249208,Gaint
6.39,4.48,0.91,1.565,K5II,14.646389,Dwarf
7.25,3.36,0.66,1.027,K0IIICNpvar,14.881697,Dwarf
8.28,39.35,1.37,0.992,K3V,21.254723,Gaint
7.72,6.04,0.96,0.606,F7III,16.625185,Dwarf
9.95,20.42,1.55,0.95,K2V,21.500278,Gaint
9.24,1.64,1.16,1.11,K0III,15.3142185,Dwarf
5.49,4.8,0.63,1.615,M3III,13.896206,Dwarf
9.19,4.62,1.02,0.52,F5V,17.51321,Gaint
8.1,4.67,1.08,1.036,K0III,16.446585,Dwarf
6.7,1.77,0.52,-0.148,B2V + B2V,12.939866,Gaint
8.14,9.52,1.12,0.562,F8V,18.033184,Gaint
5.9,3.3,0.72,-0.18,B1/B2V,13.492569,Gaint
9.56,1.95,1.13,0.971,G8IV/V,16.010174,Gaint
7.79,1.27,1.32,1.162,G8III,13.309019,Dwarf
8.42,2.74,0.91,0.006,B9III,15.608753,Dwarf
6.33,8.38,0.55,1.028,G8III:,15.94622,Dwarf
7.57,3.5,0.81,1.277,K2III,15.29034,Dwarf
8.08,12.14,1.74,0.41,F2V,18.501095,Gaint
7.42,3.7,0.89,1.132,K1III,15.261009,Dwarf
8.16,5.31,0.63,0.378,F0III/IV,16.785473,Gaint
6.34,16.69,0.78,0.484,F6V,17.452282,Gaint
8.98,2.07,1.53,1.096,G8II/III,15.559851,Dwarf
8.29,2.01,3.48,1.072,K0/K1III,14.805981,Dwarf
8.1,3.37,1.27,0.99,K0III,15.73815,Dwarf
8.03,9.48,0.73,0.441,F3V,17.914042,Gaint
7.69,2.65,0.86,1.163,G2Iab,14.80623,Dwarf
8.66,6.07,1.06,0.492,F6V,17.575943,Gaint
7.78,-0.05,1.12,1.23,F8Ib,6.27485,Dwarf
7.48,24.65,0.91,0.589,G1V,19.439085,Gaint
7.64,2.36,0.93,1.378,K2/K3III,14.5045595,Dwarf
8.56,1.78,1.18,1.009,K0III,14.8121,Dwarf
8.25,0.49,1.19,1.313,K1III/IV,11.70098,Gaint
9.32,12.78,1.38,0.642,G3V,19.852654,Gaint
7.89,3.84,0.69,1.087,K1III,15.811657,Dwarf
7.47,1.01,0.62,1.649,M5III,12.491606,Dwarf
8.07,2.4,0.64,-0.054,B9II,14.971056,Dwarf
8.26,7.98,1.11,0.281,A7V,17.770016,Gaint
8.85,16.08,1.25,0.676,G3/G5V,19.88143,Gaint
8.14,4.82,0.94,1.239,K2III,16.555237,Dwarf
8.1,2.95,0.73,1.018,G8III,15.44911,Dwarf
8.88,3.95,1.18,0.782,F3Ib/II,16.862986,Dwarf
7.67,4.4,0.96,1.044,G8III,15.887263,Dwarf
8.08,3.56,1.22,1.054,K0III,15.83725,Dwarf
7.07,5.42,0.99,1.42,K3III,15.739996,Dwarf
8.19,0.64,0.87,0.955,G8III,12.2209,Dwarf
8.87,21.2,1.36,0.808,K0V,20.501678,Gaint
6.9,6.66,0.59,1.153,K1III,16.01737,Dwarf
7.83,0.88,1.4,0.67,B5IV,12.552414,Gaint
7.51,13.83,0.64,0.657,G6:III/IV+.,18.214111,Gaint
4.78,22.54,0.77,0.17,A6IV,16.54477,Gaint
9.12,-0.21,1.36,1.008,G8III,10.731096,Dwarf
8.35,15.51,1,0.604,G0V,19.303059,Gaint
8.16,26.43,1.03,0.707,G5V,20.270485,Gaint
8.45,17.95,1,0.63,G3/G5V,19.720322,Gaint
7.74,6.34,0.8,0.26,A9IV,16.750446,Gaint
7.03,10.02,0.81,0.252,A9V,17.03434,Gaint
8.04,5.48,1.02,1.017,K0III,16.733902,Dwarf
8.79,4.89,1.88,0.58,G5III,17.236546,Dwarf
6.44,4.67,0.81,1.234,K1III,14.786585,Dwarf
6.79,1.63,0.61,-0.15,B3III,12.850939,Dwarf
8.78,2.18,0.79,0.909,G3III,15.472282,Dwarf
8.54,4.79,1.05,0.411,F2V,16.941677,Gaint
9.56,4.21,1.03,0.393,F0V,17.681412,Gaint
7.96,1.56,0.94,1.6,M2/M3III,13.925623,Dwarf
7.46,2.74,0.89,-0.021,B9III,14.648753,Dwarf
9.24,-6.74,3.46,0.511,A7IV,18.383299,Gaint
8.77,8.69,1.19,0.434,F3V,18.4651,Gaint
7.26,2.04,0.57,1.526,K5III,13.808151,Dwarf
8.17,2.97,0.8,0.81,G6III,15.533782,Dwarf
7.23,4.82,0.79,0.85,K1III,15.645235,Dwarf
7.53,2.62,0.98,1.392,K3III,14.621508,Dwarf
8.36,3.61,0.98,-0.04,B8V,16.147537,Gaint
7.91,2.74,0.83,1.671,M1III,15.098753,Dwarf
8.98,19.72,1.16,0.799,G8/K0IV,20.454533,Gaint
8.69,3.03,1.11,1.531,K2/K3III,16.097214,Dwarf
7.7,5.41,1.16,1.176,K1III,16.365986,Dwarf
8.45,2.97,0.7,1.435,K3III,15.813782,Dwarf
7.84,4.26,1,1.14,K1IIICN...,15.987048,Dwarf
9.12,3.83,0.82,1.735,K2/K3III:,17.035994,Dwarf
6.52,6.4,0.93,0.95,G8III,15.5508995,Dwarf
7.72,3.75,0.91,1.172,K1III,15.590157,Dwarf
7.86,14.97,1.6,0.659,G3V,18.73611,Gaint
9.58,8.71,1.1,0.592,G3V,19.28009,Gaint
7.36,36.82,0.85,0.718,G6V,20.19042,Gaint
9.01,0.08,0.9,1.514,M3III:,8.52545,Dwarf
8.02,9.89,1.74,0.447,F3V,17.995983,Gaint
9.1,3.68,1.22,0.1,A2IV,16.92924,Gaint
8.23,5.51,0.94,0.345,F2III,16.935757,Dwarf
9.51,7.26,1.48,0.614,G3V,18.814684,Gaint
8.2,8.46,1.06,0.427,F2V,17.836851,Gaint
8.46,22.2,0.81,0.774,G8IV/V,20.191765,Gaint
6.08,8.26,0.77,1.035,K0III,15.6649,Dwarf
8.37,2.75,1.13,1.116,K2II/III,15.566664,Dwarf
7.02,6.01,0.8,0.103,A1V,15.914373,Gaint
9.92,-1.08,1.54,0.87,G8III,15.087119,Dwarf
6.95,7.2,0.82,1.326,K3III,16.236662,Dwarf
6.99,2.45,0.69,-0.091,B7/B8III,13.93583,Dwarf
7.97,2.23,1.11,0.919,G8III,14.711524,Dwarf
8.81,0.89,1.29,1.738,M0III,13.556951,Dwarf
8.66,6.75,1.09,0.267,F0V,17.806519,Gaint
8.62,10.98,1.17,0.458,F6V,18.82301,Gaint
8.83,13.58,1.62,0.522,G0V,19.4945,Gaint
7.66,4.53,0.67,0.918,G8III/IV,15.940491,Gaint
8.39,4.58,1.18,0.991,G8III/IV,16.694328,Gaint
5.76,7.61,0.83,-0.117,B9III,15.1669235,Dwarf
8.8,1.97,1.16,1.119,K0III,15.272331,Dwarf
6.35,5.28,0.96,-0.044,B9Vn,14.963169,Gaint
6.8,9.27,1.07,1.232,K1III,16.635399,Dwarf
5.56,9.19,0.49,-0.042,A0V,15.376577,Gaint
6.26,8.58,0.67,1.09,K0III,15.927437,Dwarf
8.44,0.89,1.25,1.28,K1III,13.18695,Dwarf
10.16,1.36,1.33,1.518,G5:Ia,15.827695,Dwarf
8.34,5.36,1.07,0.394,F0IV,16.985825,Gaint
7.52,5,0.98,0.979,K0III,16.01485,Dwarf
4.82,2.07,0.92,1.459,K2III,11.399852,Dwarf
5.74,134.04,0.86,0.89,K2V,21.376171,Gaint
8.01,3.6,1.48,0.124,A1V,15.791513,Gaint
6.68,7.25,0.77,1.243,K1III,15.981689,Dwarf
8.6,8.29,0.97,0.435,F3V,18.192772,Gaint
7.51,1.07,0.86,1.477,K4III,12.6569195,Dwarf
5.24,13.06,0.59,0.356,F2III,15.8197155,Dwarf
5.97,3.63,0.84,1.491,K4III,13.769533,Dwarf
9.08,2.09,1.29,1.398,K3III,15.680732,Dwarf
10.55,43.25,2,1.412,M2V,23.72993,Gaint
6.83,3.21,0.59,-0.141,B8III,14.362525,Dwarf
6.21,11.32,0.88,0.413,F5II-III,16.479233,Dwarf
7.35,1.89,0.8,0.33,B9Iab,13.732309,Dwarf
8.67,4.12,1.03,1.089,G8III,16.744486,Dwarf
7.94,2.29,0.62,-0.026,B7V,14.739178,Gaint
8.84,4.47,1.14,0.972,G8/K0III,17.091537,Dwarf
7.88,0.86,1.02,-0.044,B3III,12.552492,Dwarf
9.1,9.15,0.86,0.68,G2V,18.907104,Gaint
8.49,8.64,1.11,0.451,F3V,18.17257,Gaint
9.42,11.5,0.89,0.785,G6/G8V,19.723488,Gaint
7.91,5.27,0.99,0.118,A0/A1V,16.519053,Gaint
9.04,17.12,1.29,0.7,G3/G5V,20.20752,Gaint
9.26,2.88,1.17,1.169,K1/K2III,16.556963,Dwarf
9.8,3.68,1.46,0.455,F2V,17.62924,Gaint
9.09,1.78,1.09,1.223,K2III,15.3421,Dwarf
6.22,0.03,0.55,0.007,B1Ia,3.605606,Dwarf
8.75,3.01,1.05,0.056,A6/A7V:,16.142834,Gaint
7.93,1.24,0.93,-0.064,B2III,13.397108,Dwarf
10.24,1.08,1.33,0.409,F5V,15.407119,Gaint
8.43,4.97,1.01,0.197,A5V,16.911781,Gaint
8.85,7.08,1.13,0.446,F6IV,18.100166,Gaint
9.41,1.54,1.24,1.07,K1III,15.347604,Dwarf
9,4.62,1.26,0.409,F2V,17.32321,Gaint
